TF	ID	TQ	TA	TR	TS	Ti	TC	TW	Tserv
345	209	255	258	259	335	79	1	80	10
340	206	251	251	252	317	65	1	66	23
330	211	256	256	258	320	62	2	64	10
327	201	246	246	247	308	61	1	62	19
326	208	254	255	256	317	62	1	63	9
325	198	244	244	248	313	65	4	69	12
325	193	236	237	238	303	66	1	67	22
323	189	230	232	234	298	66	2	68	25
322	196	240	240	241	304	63	1	64	18
308	192	234	234	236	299	63	2	65	9
305	184	220	228	232	290	66	4	70	15
296	185	222	224	228	288	62	4	66	8
294	156	194	198	200	271	75	2	77	23
293	175	209	209	211	283	72	2	74	10
292	177	210	210	212	285	73	2	75	7
291	170	204	204	209	274	65	5	70	17
289	155	194	194	198	265	67	4	71	24
287	172	205	209	210	276	70	1	71	11
281	207	252	253	255	256	2	2	4	25
280	204	248	252	253	254	5	1	6	26
280	205	250	250	251	252	1	1	2	28
271	210	255	255	257	258	1	2	3	13
271	195	239	239	241	242	1	2	3	29
270	199	244	244	246	247	1	2	3	23
270	162	196	196	198	264	66	2	68	6
269	194	237	237	239	240	1	2	3	29
268	158	196	196	198	256	58	2	60	12
267	203	246	248	252	253	3	4	7	14
264	142	175	180	184	243	64	4	68	21
262	200	246	246	247	253	6	1	7	9
261	212	258	258	260	261	1	2	3	0
259	197	242	242	243	244	1	1	2	15
259	138	165	169	172	235	67	3	70	24
257	141	174	176	180	240	62	4	66	17
257	139	168	172	176	236	64	4	68	21
255	191	233	235	237	238	3	2	5	17
254	151	187	187	189	244	55	2	57	10
251	190	232	234	235	236	3	1	4	15
249	202	246	246	248	249	1	2	3	0
248	121	136	158	159	231	94	1	95	17
242	136	162	162	163	231	68	1	69	11
239	186	225	225	226	227	1	1	2	12
239	182	216	219	224	225	4	5	9	14
237	181	214	214	219	220	1	5	6	17
235	123	139	154	158	214	71	4	75	21
231	179	214	214	215	218	3	1	4	13
230	188	228	228	229	230	1	1	2	0
230	187	227	227	229	230	1	2	3	0
230	174	207	207	208	209	1	1	2	21
230	161	196	200	203	204	5	3	8	26
229	168	201	201	202	203	1	1	2	26
228	166	201	201	202	203	1	1	2	25
227	125	147	151	154	211	61	3	64	16
222	128	150	150	152	209	57	2	59	13
222	159	196	196	198	208	10	2	12	14
220	165	201	201	203	204	1	2	3	16
219	150	186	188	189	190	3	1	4	29
218	152	188	188	190	191	1	2	3	27
216	180	214	214	215	216	1	1	2	0
216	164	200	200	202	203	1	2	3	13
214	178	212	212	213	214	1	1	2	0
213	124	144	146	151	191	42	5	47	22
212	176	209	209	211	212	1	2	3	0
211	149	184	184	185	186	1	1	2	25
211	154	192	192	194	196	2	2	4	15
209	146	181	184	188	189	4	4	8	20
207	173	205	205	206	207	1	1	2	0
207	171	205	205	206	207	1	1	2	0
205	153	190	190	191	196	5	1	6	9
204	167	201	201	203	204	1	2	3	0
