TF	ID	TQ	TA	TR	TS	Ti	TC	TW	Tserv
203	148	183	183	185	186	1	2	3	17
202	163	199	199	201	202	1	2	3	0
201	107	124	133	134	176	51	1	52	25
199	160	196	196	198	199	1	2	3	0
198	157	196	196	197	198	1	1	2	0
196	122	137	143	146	183	43	3	46	13
196	144	178	178	179	181	2	1	3	15
195	131	153	166	169	170	14	3	17	25
195	120	135	135	137	177	40	2	42	18
194	140	170	170	172	173	1	2	3	21
192	127	149	159	162	163	11	3	14	29
191	135	160	160	162	163	1	2	3	28
190	130	151	162	166	167	12	4	16	23
188	105	124	129	133	168	40	4	44	20
186	137	163	163	164	165	1	1	2	21
185	147	183	183	184	185	1	1	2	0
185	116	133	133	134	174	40	1	41	11
182	145	179	179	181	182	1	2	3	0
180	134	159	159	160	161	1	1	2	19
177	129	150	150	152	158	6	2	8	19
172	126	148	148	149	150	1	1	2	22
170	132	155	155	157	158	1	2	3	12
170	133	156	156	158	159	1	2	3	11
170	99	118	118	120	149	29	2	31	21
167	117	133	139	143	144	7	4	11	23
164	109	126	134	135	136	9	1	10	28
164	96	115	115	117	145	28	2	30	19
162	100	119	119	123	150	27	4	31	12
160	118	134	134	135	136	1	1	2	24
160	82	99	99	100	143	43	1	44	17
158	114	132	132	133	140	7	1	8	18
153	108	126	126	127	128	1	1	2	25
153	101	121	121	123	124	1	2	3	29
152	103	123	123	124	125	1	1	2	27
151	115	132	135	139	140	4	4	8	11
150	79	94	94	95	132	37	1	38	18
149	113	131	131	132	140	8	1	9	9
145	106	124	124	129	130	1	5	6	15
144	92	110	114	119	120	5	5	10	24
144	75	91	91	92	129	37	1	38	15
141	90	110	110	112	113	1	2	3	28
141	86	107	107	111	112	1	4	5	29
141	81	97	97	99	132	33	2	35	9
136	74	91	91	92	129	37	1	38	7
136	97	116	116	117	123	6	1	7	13
133	111	131	131	132	133	1	1	2	0
133	104	123	123	124	126	2	1	3	7
130	72	88	88	90	115	25	2	27	15
126	91	110	111	114	115	2	3	5	11
123	73	89	89	91	117	26	2	28	6
120	83	101	101	105	106	1	4	5	14
120	88	108	108	110	114	4	2	6	6
120	64	75	81	83	108	31	2	33	12
119	98	116	116	118	119	1	2	3	0
118	78	94	94	95	96	1	1	2	22
117	95	114	114	116	117	1	2	3	0
117	70	82	88	90	91	7	2	9	26
116	48	56	56	57	92	35	1	36	24
114	94	112	112	113	114	1	1	2	0
114	58	67	71	72	96	28	1	29	18
113	93	110	110	112	113	1	2	3	0
113	68	80	80	81	97	16	1	17	16
112	77	94	94	97	98	1	3	4	14
111	89	109	109	110	111	1	1	2	0
110	87	108	108	109	110	1	1	2	0
110	69	80	83	88	89	4	5	9	21
108	65	77	78	81	102	22	3	25	6
106	60	67	67	69	95	26	2	28	11
106	71	87	87	88	89	1	1	2	17
104	84	102	102	103	104	1	1	2	0
100	49	57	57	58	92	34	1	35	8
99	63	74	74	78	79	1	4	5	20
99	31	37	44	48	83	42	4	46	16
98	80	95	95	97	98	1	2	3	0
95	76	92	92	94	95	1	2	3	0
89	62	70	70	71	72	1	1	2	17
89	54	60	68	71	72	9	3	12	17
89	66	79	79	81	82	1	2	3	7
88	57	65	65	67	74	7	2	9	14
83	45	53	53	55	60	5	2	7	23
82	50	58	58	63	64	1	5	6	18
82	44	52	52	54	60	6	2	8	22
82	56	63	63	64	69	5	1	6	13
80	51	58	63	68	69	6	5	11	11
78	52	58	58	59	67	8	1	9	11
76	43	51	51	52	55	3	1	4	21
75	37	44	44	46	48	2	2	4	27
72	40	48	48	53	60	7	5	12	12
72	47	55	55	56	61	5	1	6	11
72	29	34	38	41	52	15	3	18	20
69	59	67	67	68	69	1	1	2	0
69	24	28	28	33	46	13	5	18	23
66	41	49	49	51	53	2	2	4	13
66	32	38	38	39	48	9	1	10	18
65	25	30	33	38	44	9	5	14	21
65	35	40	40	41	48	7	1	8	17
63	55	61	61	62	63	1	1	2	0
62	33	39	41	44	55	13	3	16	7
61	53	58	58	60	61	1	2	3	0
61	34	40	40	42	55	13	2	15	6
60	30	34	34	36	37	1	2	3	23
60	27	33	33	35	36	1	2	3	24
57	46	55	55	56	57	1	1	2	0
53	42	50	50	52	53	1	2	3	0
53	23	26	26	28	29	1	2	3	24
53	21	26	26	28	32	4	2	6	21
49	20	25	25	26	43	17	1	18	6
48	15	20	22	27	28	3	5	8	20
47	22	26	26	28	29	1	2	3	18
44	9	13	15	17	18	3	2	5	26
40	18	22	22	24	25	1	2	3	15
39	17	21	21	22	23	1	1	2	16
39	11	15	15	16	17	1	1	2	22
38	16	21	21	23	24	1	2	3	14
36	28	33	33	35	36	1	2	3	0
33	26	31	31	32	33	1	1	2	0
33	12	15	15	16	17	1	1	2	16
33	10	13	13	15	16	1	2	3	17
33	14	17	17	22	23	1	5	6	10
31	6	10	11	15	16	2	4	6	15
29	4	6	6	11	12	1	5	6	17
27	2	3	3	5	6	1	2	3	21
25	19	23	23	24	25	1	1	2	0
24	7	10	10	11	12	1	1	2	12
19	3	4	4	5	6	1	1	2	13
18	13	16	16	17	18	1	1	2	0
10	5	8	8	9	10	1	1	2	0
4	1	2	2	3	4	1	1	2	0


Total Orders: 212 [ODG: 33, ODN: 40, OT: 36, OVC: 39, OVG: 35, OVN: 29]
Total Chefs: 13 [CS: 1, CN: 12]
Total Scooters: 3

Finished Orders: 93.396% 
Cancelled Orders: 6.604%

Averages for Finished Orders => Ti: 16.318, TC: 2.091, Tw: 18.409, Tserv: 14.177

Scooters Utilization: 92.174%
Chefs Utilization: 9.565%
