TF	ID	TQ	TA	TR	TS	Ti	TC	TW	Tserv
157	163	90	90	93	137	44	3	47	20
154	169	93	93	95	138	43	2	45	16
151	139	77	77	80	133	53	3	56	18
150	162	90	90	93	108	15	3	18	42
149	145	80	80	82	134	52	2	54	15
148	175	97	97	98	140	42	1	43	8
147	157	87	87	89	136	47	2	49	11
145	180	100	100	102	113	11	2	13	32
143	127	70	70	72	129	57	2	59	14
142	151	83	83	84	135	51	1	52	7
142	156	86	86	89	106	17	3	20	36
138	121	67	67	69	128	59	2	61	10
138	109	60	60	63	121	58	3	61	17
136	133	73	73	74	130	56	1	57	6
135	168	93	93	95	109	14	2	16	26
134	152	84	84	88	89	1	4	5	45
133	103	57	57	59	120	61	2	63	13
131	115	63	63	64	125	61	1	62	6
131	177	98	98	101	104	3	3	6	27
129	173	96	96	98	99	1	2	3	30
128	170	94	94	97	98	1	3	4	30
127	161	89	89	91	92	1	2	3	35
126	126	70	70	73	86	13	3	16	40
125	146	81	81	84	85	1	3	4	40
124	174	96	96	97	110	13	1	14	14
122	150	83	83	85	104	19	2	21	18
121	91	50	50	52	113	61	2	63	8
121	179	99	99	100	101	1	1	2	20
120	97	53	53	54	115	61	1	62	5
120	176	97	97	99	100	1	2	3	20
120	144	80	80	82	90	8	2	10	30
119	164	91	91	93	94	1	2	3	25
118	120	66	66	69	84	15	3	18	34
116	171	95	95	97	102	5	2	7	14
114	155	86	86	88	89	1	2	3	25
114	116	64	64	68	69	1	4	5	45
112	143	79	79	81	82	1	2	3	30
111	153	85	85	87	89	2	2	4	22
111	132	73	73	75	87	12	2	14	24
110	159	88	88	90	92	2	2	4	18
110	131	72	72	74	75	1	2	3	35
109	167	92	92	93	94	1	1	2	15
109	141	78	78	81	84	3	3	6	25
105	128	71	71	74	75	1	3	4	30
104	158	87	87	88	89	1	1	2	15
104	149	82	82	83	84	1	1	2	20
103	165	91	91	92	97	5	1	6	6
102	134	74	74	76	77	1	2	3	25
101	178	98	98	100	101	1	2	3	0
100	138	76	76	77	87	10	1	11	13
100	140	77	77	79	80	1	2	3	20
99	101	56	56	58	59	1	2	3	40
98	172	95	95	97	98	1	2	3	0
97	114	63	63	65	81	16	2	18	16
97	125	69	69	71	72	1	2	3	25
97	90	50	50	53	58	5	3	8	39
96	166	92	92	95	96	1	3	4	0
95	113	62	62	64	65	1	2	3	30
93	147	81	81	82	84	2	1	3	9
93	137	76	76	77	78	1	1	2	15
92	135	75	75	77	80	3	2	5	12
92	108	60	60	62	64	2	2	4	28
90	160	88	88	89	90	1	1	2	0
90	123	68	68	70	74	4	2	6	16
90	117	65	65	67	70	3	2	5	20
90	92	51	51	54	55	1	3	4	35
89	110	61	61	63	64	1	2	3	25
89	84	46	46	49	57	8	3	11	32
88	119	66	66	67	68	1	1	2	20
88	98	54	54	57	58	1	3	4	30
87	154	85	85	86	87	1	1	2	0
86	74	41	41	45	46	1	4	5	40
85	148	82	82	84	85	1	2	3	0
