TF	ID	TQ	TA	TR	TS	Ti	TC	TW	Tserv
89	54	64	64	66	67	1	2	3	22
89	51	62	62	65	66	1	3	4	23
86	44	55	55	58	59	1	3	4	27
86	45	56	56	57	58	1	1	2	28
84	65	81	81	83	84	1	2	3	0
82	64	79	79	81	82	1	2	3	0
76	46	56	56	58	59	1	2	3	17
75	50	61	61	62	63	1	1	2	12
69	36	45	45	47	48	1	2	3	21
65	41	53	53	54	55	1	1	2	10
64	52	62	62	63	64	1	1	2	0
64	49	60	60	63	64	1	3	4	0
63	26	34	34	35	36	1	1	2	27
62	37	46	46	47	48	1	1	2	14
60	47	58	58	59	60	1	1	2	0
60	32	40	40	41	42	1	1	2	18
59	25	34	34	37	38	1	3	4	21
58	18	27	27	30	31	1	3	4	27
58	2	4	4	7	8	1	3	4	50
56	31	38	38	39	40	1	1	2	16
52	39	49	49	51	52	1	2	3	0
46	19	27	27	28	29	1	1	2	17
45	35	43	43	44	45	1	1	2	0
43	20	29	29	31	32	1	2	3	11
43	13	21	21	24	25	1	3	4	18
42	1	3	3	5	6	1	2	3	36
38	29	36	36	37	38	1	1	2	0
38	15	23	23	25	26	1	2	3	12
35	23	33	33	34	35	1	1	2	0
33	11	17	17	20	21	1	3	4	12
32	21	30	30	31	32	1	1	2	0
31	5	10	10	13	14	1	3	4	17
27	16	24	24	26	27	1	2	3	0
21	12	19	19	20	21	1	1	2	0
14	7	12	12	13	14	1	1	2	0


Total Orders: 192 [ODG: 42, ODN: 33, OT: 37, OVC: 26, OVG: 29, OVN: 25]
Total Chefs: 13 [CS: 5, CN: 8]
Total Scooters: 0

Finished Orders: 96.354% 
Cancelled Orders: 3.646%

Averages for Finished Orders => Ti: 445.584, TC: 1.832, Tw: 447.416, Tserv: 19.157

Scooters Utilization: 0%
Chefs Utilization: 1.057%
