TF	ID	TQ	TA	TR	TS	Ti	TC	TW	Tserv
2533	192	230	230	231	2512	2281	1	2282	21
2522	188	226	226	227	2503	2276	1	2277	19
2467	183	222	222	225	2447	2222	3	2225	20
2458	187	224	224	225	2413	2188	1	2189	45
2401	184	222	222	224	2355	2131	2	2133	46
2358	182	221	221	224	2328	2104	3	2107	30
2295	176	215	215	219	2260	2041	4	2045	35
2283	178	216	216	217	2238	2021	1	2022	45
2217	173	213	213	214	2174	1960	1	1961	43
2167	168	207	207	209	2121	1912	2	1914	46
2119	166	203	203	204	2089	1885	1	1886	30
2083	160	197	197	199	2045	1846	2	1848	38
2077	163	200	200	202	2065	1863	2	1865	12
2027	147	184	184	185	2014	1829	1	1830	13
2009	144	178	178	181	1998	1817	3	1820	11
1982	143	178	178	180	1966	1786	2	1788	16
1966	142	177	177	180	1918	1738	3	1741	48
1893	126	154	154	156	1845	1689	2	1691	48
1876	138	173	173	175	1859	1684	2	1686	17
1833	113	138	138	140	1807	1667	2	1669	26
1827	116	141	141	143	1809	1666	2	1668	18
1772	110	132	132	134	1760	1626	2	1628	12
1753	98	117	117	119	1724	1605	2	1607	29
1749	109	130	130	131	1738	1607	1	1608	11
1703	96	115	115	116	1682	1566	1	1567	21
1680	95	115	115	116	1647	1531	1	1532	33
1633	82	98	98	99	1609	1510	1	1511	24
1631	83	99	99	101	1615	1514	2	1516	16
1565	80	96	96	99	1521	1422	3	1425	44
1544	72	87	87	90	1498	1408	3	1411	46
1463	73	88	88	89	1428	1339	1	1340	35
1459	70	85	85	88	1422	1334	3	1337	37
1410	69	85	85	86	1398	1312	1	1313	12
1358	66	81	81	82	1313	1231	1	1232	45
1343	60	72	72	75	1313	1238	3	1241	30
1295	57	68	68	71	1277	1206	3	1209	18
1281	58	69	69	71	1249	1178	2	1180	32
1235	55	66	66	67	1218	1151	1	1152	17
1204	42	53	53	56	1184	1128	3	1131	20
1177	43	54	54	55	1136	1081	1	1082	41
1154	40	51	51	54	1124	1070	3	1073	30
1092	34	43	43	44	1073	1029	1	1030	19
1086	38	47	47	50	1073	1023	3	1026	13
1059	33	42	42	43	1045	1002	1	1003	14
1057	30	36	36	37	1041	1004	1	1005	16
980	27	34	34	36	940	904	2	906	40
966	24	34	34	35	916	881	1	882	50
918	17	25	25	27	896	869	2	871	22
874	10	15	15	16	832	816	1	817	42
839	9	14	14	15	807	792	1	793	32
771	8	12	12	13	735	722	1	723	36
759	6	12	12	13	711	698	1	699	48
722	3	6	6	7	709	702	1	703	13
668	190	228	228	230	650	420	2	422	18
662	186	224	224	226	640	414	2	416	22
633	172	213	213	214	616	402	1	403	17
614	159	195	195	197	588	391	2	393	26
560	151	189	189	190	529	339	1	340	31
517	148	186	186	187	471	284	1	285	46
488	139	175	175	176	447	271	1	272	41
436	124	150	150	151	401	250	1	251	35
382	120	146	146	148	342	194	2	196	40
340	87	106	106	108	304	196	2	198	36
327	91	112	112	114	312	198	2	200	15
275	62	76	76	78	246	168	2	170	29
267	85	101	101	102	247	145	1	146	20
255	191	229	229	232	233	1	3	4	22
248	180	218	218	219	220	1	1	2	28
247	189	226	226	227	228	1	1	2	19
241	174	214	214	216	217	1	2	3	24
240	181	219	219	222	223	1	3	4	17
230	177	216	216	218	219	1	2	3	11
230	167	203	203	205	206	1	2	3	24
229	164	202	202	204	205	1	2	3	24
229	162	200	200	201	202	1	1	2	27
225	185	223	223	224	225	1	1	2	0
225	158	194	194	196	197	1	2	3	28
221	179	218	218	220	221	1	2	3	0
218	175	215	215	217	218	1	2	3	0
218	150	189	189	193	194	1	4	5	24
216	154	192	192	193	194	1	1	2	22
215	157	194	194	198	199	1	4	5	16
213	171	211	211	212	213	1	1	2	0
212	170	210	210	211	212	1	1	2	0
211	169	208	208	210	211	1	2	3	0
211	48	60	60	61	175	114	1	115	36
206	152	189	189	191	192	1	2	3	14
205	165	203	203	204	205	1	1	2	0
205	146	182	182	183	184	1	1	2	21
203	140	175	175	176	177	1	1	2	26
201	141	177	177	179	180	1	2	3	21
200	56	68	68	70	179	109	2	111	21
196	145	180	180	181	182	1	1	2	14
195	156	193	193	194	195	1	1	2	0
195	155	192	192	194	195	1	2	3	0
194	153	191	191	193	194	1	2	3	0
194	131	163	163	166	167	1	3	4	27
191	135	169	169	172	173	1	3	4	18
190	149	188	188	189	190	1	1	2	0
189	137	171	171	174	175	1	3	4	14
185	133	165	165	167	168	1	2	3	17
181	132	165	165	166	167	1	1	2	14
180	134	167	167	168	169	1	1	2	11
176	130	161	161	162	163	1	1	2	13
176	121	146	146	147	148	1	1	2	28
173	122	147	147	148	149	1	1	2	24
172	136	169	169	171	172	1	2	3	0
170	123	149	149	151	152	1	2	3	18
167	125	152	152	153	154	1	1	2	13
165	28	36	36	37	151	114	1	115	14
164	129	160	160	163	164	1	3	4	0
162	128	160	160	161	162	1	1	2	0
161	127	158	158	160	161	1	2	3	0
159	118	145	145	146	147	1	1	2	12
156	117	141	141	144	145	1	3	4	11
156	107	127	127	131	132	1	4	5	24
155	114	138	138	140	141	1	2	3	14
154	115	139	139	141	142	1	2	3	12
152	100	120	120	123	124	1	3	4	28
149	119	146	146	148	149	1	2	3	0
149	104	124	124	126	128	2	2	4	21
147	105	124	124	127	128	1	3	4	19
143	103	124	124	127	128	1	3	4	15
142	86	104	104	107	119	12	3	15	23
140	112	136	136	139	140	1	3	4	0
140	88	108	108	109	121	12	1	13	19
135	111	132	132	134	135	1	2	3	0
135	94	115	115	116	121	5	1	6	14
134	84	101	101	102	113	11	1	12	21
131	97	115	115	119	121	2	4	6	10
130	108	128	128	129	130	1	1	2	0
129	14	22	22	24	108	84	2	86	21
128	78	96	96	97	103	6	1	7	25
125	101	121	121	124	125	1	3	4	0
121	75	91	91	94	95	1	3	4	26
120	79	96	96	98	103	5	2	7	17
119	81	98	98	99	105	6	1	7	14
117	93	114	114	116	117	1	2	3	0
114	92	112	112	113	114	1	1	2	0
114	89	110	110	113	114	1	3	4	0
113	76	93	93	95	96	1	2	3	17
113	67	82	82	85	86	1	3	4	27
108	74	90	90	93	94	1	3	4	14
105	63	77	77	78	79	1	1	2	26
104	68	84	84	88	89	1	4	5	15
103	71	85	85	88	89	1	3	4	14
102	4	8	8	9	78	69	1	70	24
101	61	74	74	75	76	1	1	2	25
101	59	70	70	71	72	1	1	2	29
96	77	94	94	95	96	1	1	2	0
