TF	ID	TQ	TA	TR	TS	Ti	TC	TW	Tserv
693	569	681	681	682	683	1	1	2	10
693	564	673	673	674	675	1	1	2	18
692	578	690	690	691	692	1	1	2	0
691	480	581	581	582	683	101	1	102	8
690	552	665	665	666	667	1	1	2	23
690	549	663	663	664	665	1	1	2	25
683	467	558	558	559	668	109	1	110	15
681	568	679	679	680	681	1	1	2	0
681	474	572	572	573	675	102	1	103	6
680	566	678	678	679	680	1	1	2	0
680	541	653	653	654	655	1	1	2	25
678	565	676	676	677	678	1	1	2	0
678	551	663	663	664	665	1	1	2	13
677	546	660	660	661	662	1	1	2	15
674	465	555	555	556	665	109	1	110	9
674	539	649	649	650	651	1	1	2	23
673	533	643	643	644	645	1	1	2	28
672	558	670	670	671	672	1	1	2	0
671	537	648	648	649	650	1	1	2	21
669	462	554	554	555	655	100	1	101	14
669	459	551	551	552	655	103	1	104	14
667	458	550	550	551	654	103	1	104	13
663	456	549	549	550	651	101	1	102	12
663	526	633	633	634	635	1	1	2	28
662	536	646	646	647	648	1	1	2	14
661	538	649	649	650	651	1	1	2	10
654	531	640	640	641	642	1	1	2	12
653	540	651	651	652	653	1	1	2	0
653	454	545	545	546	648	102	1	103	5
653	524	631	631	632	633	1	1	2	20
652	447	540	540	541	636	95	1	96	16
651	519	623	623	624	625	1	1	2	26
650	452	545	545	546	641	95	1	96	9
646	446	540	540	541	637	96	1	97	9
645	445	540	540	541	635	94	1	95	10
642	444	540	540	541	636	95	1	96	6
641	453	545	545	546	637	91	1	92	4
639	529	637	637	638	639	1	1	2	0
639	442	538	538	539	627	88	1	89	12
639	430	523	523	524	624	100	1	101	15
638	528	636	636	637	638	1	1	2	0
637	443	540	540	541	633	92	1	93	4
636	516	620	620	621	622	1	1	2	14
633	506	607	607	608	609	1	1	2	24
632	523	630	630	631	632	1	1	2	0
632	429	522	522	523	623	100	1	101	9
632	515	620	620	621	622	1	1	2	10
631	441	536	536	537	627	90	1	91	4
631	434	528	528	529	625	96	1	97	6
630	433	526	526	527	624	97	1	98	6
629	521	627	627	628	629	1	1	2	0
629	425	517	517	518	620	102	1	103	9
629	499	601	601	602	603	1	1	2	26
627	421	513	513	514	617	103	1	104	10
627	498	600	600	601	602	1	1	2	25
626	496	598	598	599	600	1	1	2	26
625	497	600	600	601	602	1	1	2	23
623	517	621	621	622	623	1	1	2	0
623	417	508	508	509	610	101	1	102	13
622	423	515	515	516	617	101	1	102	5
620	514	618	618	619	620	1	1	2	0
620	415	507	507	508	607	99	1	100	13
620	501	603	603	604	605	1	1	2	15
620	406	493	493	494	604	110	1	111	16
618	512	616	616	617	618	1	1	2	0
618	420	511	511	512	612	100	1	101	6
616	491	592	592	593	594	1	1	2	22
615	411	500	500	501	606	105	1	106	9
615	408	495	495	496	605	109	1	110	10
614	511	612	612	613	614	1	1	2	0
613	495	597	597	598	599	1	1	2	14
612	407	495	495	496	604	108	1	109	8
611	507	609	609	610	611	1	1	2	0
608	403	490	490	491	593	102	1	103	15
608	488	589	589	590	591	1	1	2	17
605	502	603	603	604	605	1	1	2	0
605	404	492	492	493	601	108	1	109	4
604	402	490	490	491	598	107	1	108	6
604	475	574	574	575	576	1	1	2	28
596	397	484	484	485	586	101	1	102	10
595	392	480	480	481	586	105	1	106	9
593	389	474	474	475	579	104	1	105	14
593	473	569	569	570	571	1	1	2	22
591	386	472	472	473	578	105	1	106	13
590	384	467	467	468	575	107	1	108	15
589	486	587	587	588	589	1	1	2	0
589	470	564	564	565	566	1	1	2	23
586	482	584	584	585	586	1	1	2	0
586	381	464	464	465	571	106	1	107	15
585	469	562	562	563	564	1	1	2	21
585	466	556	556	557	558	1	1	2	27
584	383	466	466	467	575	108	1	109	9
583	479	581	581	582	583	1	1	2	0
581	478	579	579	580	581	1	1	2	0
580	382	464	464	465	574	109	1	110	6
580	463	554	554	555	556	1	1	2	24
576	476	574	574	575	576	1	1	2	0
575	468	560	560	561	562	1	1	2	13
571	472	569	569	570	571	1	1	2	0
570	449	542	542	543	544	1	1	2	26
